"tx_merchant_clean","month_number","year(Post_date)","key","value"
"A/D POLICE(FINES DEPT)",1,2014,"Sum",946460
"A/D POLICE(FINES DEPT)",2,2014,"Sum",645740
"A/D POLICE(FINES DEPT)",3,2014,"Sum",830610
"A/D POLICE(FINES DEPT)",4,2014,"Sum",422565
"A/D POLICE(FINES DEPT)",9,2013,"Sum",671820
"A/D POLICE(FINES DEPT)",10,2013,"Sum",200645
"A/D POLICE(FINES DEPT)",11,2013,"Sum",323660
"A/D POLICE(FINES DEPT)",12,2013,"Sum",457225.55
"ACE",1,2014,"Sum",410792.24
"ACE",2,2014,"Sum",253219.29
"ACE",3,2014,"Sum",368614.76
"ACE",4,2014,"Sum",286428.11
"ACE",5,2014,"Sum",396538.97
"ACE",6,2014,"Sum",247933.75
"ACE",7,2014,"Sum",237807.5
"ACE",8,2014,"Sum",254848.6
"ACE",9,2013,"Sum",299446.25
"ACE",10,2013,"Sum",394591
"ACE",11,2013,"Sum",406669.15
"ACE",12,2013,"Sum",413257.05
"ADNOC",1,2014,"Sum",657200.65
"ADNOC",2,2014,"Sum",612790.55
"ADNOC",3,2014,"Sum",651433.19
"ADNOC",4,2014,"Sum",659910.89
"ADNOC",5,2014,"Sum",689713.91
"ADNOC",6,2014,"Sum",675832.38
"ADNOC",7,2014,"Sum",624387.71
"ADNOC",8,2014,"Sum",596197.28
"ADNOC",9,2013,"Sum",568442.18
"ADNOC",10,2013,"Sum",591246.3
"ADNOC",11,2013,"Sum",619143.15
"ADNOC",12,2013,"Sum",652682.83
"AGODA HOTEL RESERVATIO",1,2014,"Sum",329715.58
"AGODA HOTEL RESERVATIO",2,2014,"Sum",362622.13
"AGODA HOTEL RESERVATIO",3,2014,"Sum",461196.82
"AGODA HOTEL RESERVATIO",4,2014,"Sum",475057.03
"AGODA HOTEL RESERVATIO",5,2014,"Sum",397170.15
"AGODA HOTEL RESERVATIO",6,2014,"Sum",437285.72
"AGODA HOTEL RESERVATIO",7,2014,"Sum",472429.75
"AGODA HOTEL RESERVATIO",8,2014,"Sum",462032.7
"AGODA HOTEL RESERVATIO",9,2013,"Sum",304042.79
"AGODA HOTEL RESERVATIO",10,2013,"Sum",370851.88
"AGODA HOTEL RESERVATIO",11,2013,"Sum",379947.31
"AGODA HOTEL RESERVATIO",12,2013,"Sum",506340
"AHMED SEDDIQI & SONS",1,2014,"Sum",653069
"AHMED SEDDIQI & SONS",2,2014,"Sum",861258
"AHMED SEDDIQI & SONS",3,2014,"Sum",578098
"AHMED SEDDIQI & SONS",4,2014,"Sum",265705
"AHMED SEDDIQI & SONS",5,2014,"Sum",414690
"AHMED SEDDIQI & SONS",6,2014,"Sum",404675
"AHMED SEDDIQI & SONS",7,2014,"Sum",620690
"AHMED SEDDIQI & SONS",8,2014,"Sum",429594
"AHMED SEDDIQI & SONS",9,2013,"Sum",601705
"AHMED SEDDIQI & SONS",10,2013,"Sum",579996.74
"AHMED SEDDIQI & SONS",11,2013,"Sum",429630
"AHMED SEDDIQI & SONS",12,2013,"Sum",451515
"AIR ARAB",1,2014,"Sum",766589.07
"AIR ARAB",2,2014,"Sum",729235.22
"AIR ARAB",3,2014,"Sum",868939.41
"AIR ARAB",4,2014,"Sum",997281.96
"AIR ARAB",5,2014,"Sum",1215771.52
"AIR ARAB",6,2014,"Sum",1385923.3
"AIR ARAB",7,2014,"Sum",1376975.16
"AIR ARAB",8,2014,"Sum",1209276.29
"AIR ARAB",9,2013,"Sum",871318.77
"AIR ARAB",10,2013,"Sum",852002.56
"AIR ARAB",11,2013,"Sum",701755.64
"AIR ARAB",12,2013,"Sum",854493.95
"AIR ARABIJSC",1,2014,"Sum",672118.68
"AIR ARABIJSC",2,2014,"Sum",597794.76
"AIR ARABIJSC",3,2014,"Sum",782240.65
"AIR ARABIJSC",4,2014,"Sum",826498.13
"AIR ARABIJSC",5,2014,"Sum",961203.13
"AIR ARABIJSC",6,2014,"Sum",1064279.93
"AIR ARABIJSC",7,2014,"Sum",1172785.37
"AIR ARABIJSC",8,2014,"Sum",904443.33
"AIR ARABIJSC",9,2013,"Sum",813848.25
"AIR ARABIJSC",10,2013,"Sum",781805.48
"AIR ARABIJSC",11,2013,"Sum",626318.93
"AIR ARABIJSC",12,2013,"Sum",702383.33
"AL AZIZA PANDA UNITED(",1,2014,"Sum",529772.52
"AL AZIZA PANDA UNITED(",2,2014,"Sum",480378.42
"AL AZIZA PANDA UNITED(",3,2014,"Sum",498698.24
"AL AZIZA PANDA UNITED(",4,2014,"Sum",494380.64
"AL AZIZA PANDA UNITED(",5,2014,"Sum",539138.68
"AL AZIZA PANDA UNITED(",6,2014,"Sum",529203.22
"AL AZIZA PANDA UNITED(",7,2014,"Sum",487634.49
"AL AZIZA PANDA UNITED(",8,2014,"Sum",454165.76
"AL AZIZA PANDA UNITED(",9,2013,"Sum",431665.37
"AL AZIZA PANDA UNITED(",10,2013,"Sum",457925.47
"AL AZIZA PANDA UNITED(",11,2013,"Sum",429520.65
"AL AZIZA PANDA UNITED(",12,2013,"Sum",489739.49
"AL FUTTAIM MOTORS CO L",1,2014,"Sum",293408
"AL FUTTAIM MOTORS CO L",2,2014,"Sum",385611
"AL FUTTAIM MOTORS CO L",3,2014,"Sum",358170
"AL FUTTAIM MOTORS CO L",4,2014,"Sum",318375
"AL FUTTAIM MOTORS CO L",5,2014,"Sum",273720
"AL FUTTAIM MOTORS CO L",6,2014,"Sum",302447.5
"AL FUTTAIM MOTORS CO L",7,2014,"Sum",307345
"AL FUTTAIM MOTORS CO L",8,2014,"Sum",353280.5
"AL FUTTAIM MOTORS CO L",9,2013,"Sum",274143
"AL FUTTAIM MOTORS CO L",10,2013,"Sum",374282
"AL FUTTAIM MOTORS CO L",11,2013,"Sum",489119
"AL FUTTAIM MOTORS CO L",12,2013,"Sum",293413
"AL FUTTAIM MOTORS CO-1",1,2014,"Sum",454060
"AL FUTTAIM MOTORS CO-1",2,2014,"Sum",507596
"AL FUTTAIM MOTORS CO-1",3,2014,"Sum",411576
"AL FUTTAIM MOTORS CO-1",4,2014,"Sum",421333
